Name,Category,Brand,Selling Price,MRP,Discount,Discount.1,Ratings,Details,No_of_ratings,No_of_reviews
DELL Inspiron Ryzen 3 Dual Core 3250U - (8 GB/256 GB SSD/Windows 11 Home) INSPIRON 3515 Thin and Light...,Laptops,Dell,39090,50132,0.22,0.220258518,4.3,['AMD Ryzen 3 Dual Core Processor' '8 GB DDR4 RAM' '64 bit Windows 11 Operating System' '256 GB SSD' '39.62 cm (15.6 inch) Display' '1 Year Onsite Warranty'],3,0
ASUS ROG Flow X13 (2021) Ryzen 9 Octa Core AMD R9-5980HS - (32 GB/1 TB SSD/Windows 10 Home/4 GB Graphi...,Laptops,Asus,224990,350990,0.35,0.358984586,5,['AMD Ryzen 9 Octa Core Processor' '32 GB LPDDR4X RAM' '64 bit Windows 10 Operating System' '1 TB SSD' '34.04 cm (13.4 Inch) Touchscreen Display' 'Microsoft Office Home and Student 2019' '1 Year Onsite Warranty'],4,0
DELL Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home/2 GB Graphics) Inspiron 5410 2 in 1 Laptop,Laptops,Dell,76990,106082,0.27,0.274240682,4.3,['Intel Core i5 Processor (11th Gen)' '8 GB DDR4 RAM' '64 bit Windows 11 Operating System' '512 GB SSD' '35.56 cm (14 inch) Touchscreen Display' 'Office Home and Student 2021' '1 Year Onsite Warranty'],3,0
Lenovo Core i3 10th Gen - (8 GB/256 GB SSD/Windows 10 Home) 81WA00K1IN Laptop,Laptops,Lenovo,38980,56800,0.31,0.313732394,5,['Intel Core i3 Processor (10th Gen)' '8 GB DDR4 RAM' 'Windows 10 Operating System' '256 GB SSD' '35.56 cm (14 inch) Display' '2 Year Onsite Warranty'],4,0
DELL G15 Core i5 10th Gen - (16 GB/512 GB SSD/Windows 10/4 GB Graphics/NVIDIA GeForce GTX 3050/120 Hz)...,Laptops,Dell,67990,103000,0.33,0.339902913,4.3,['Intel Core i5 Processor (10th Gen)' '16 GB DDR4 RAM' '64 bit Windows 10 Operating System' '512 GB SSD' '39.62 cm (15.6 inch) Display' 'MS Office Home & Student 2019' '1 Year Premium Support'],3,0
ASUS Core i7 10th Gen - (32 GB/1 TB SSD/Windows 10 Home/6 GB Graphics/NVIDIA GeForce RTX 2060) UX581LV...,Laptops,Asus,224990,272990,0.17,0.175830617,4.6,['Intel Core i7 Processor (10th Gen)' '32 GB DDR4 RAM' '64 bit Windows 10 Operating System' '1 TB SSD' '39.62 cm (15.6 inch) Touchscreen Display' 'My Asus Splendid Tru2Life' '1 Year Onsite Warranty'],11,0
ALIENWARE Core i7 10th Gen - (16 GB/512 GB SSD/Windows 10 Home/6 GB Graphics/NVIDIA GeForce GTX 1660 T...,Laptops,Alienware,199990,223322,0.1,0.104476944,4.9,['NVIDIA GeForce GTX 1660 Ti' '15.6 inch Full HD LED Backlit Anti-glare IPS Display 300 Hz 300 Nits' 'Alienware Cryo-tech thermal technology to keep the system cool and running at highest performance' 'Tobii-eye tracking to track head pose presence fine gaze and eye position' 'In-built Alienware Command center software with enhanced control over system settings' 'Intel Core i7 Processor (10th Gen)' '16 GB DDR4 RAM' '64 bit Windows 10 Operating System' '512 GB SSD' '39.62 cm (15.6 inch) Display' 'Microsoft Office Home and Student 2019' '1 Year Limited Hardware Warranty In Home Service After Remote Diagnosis - Retail'],12,0
ASUS ROG Zephyrus M16 (2022) with 90Whr Battery Core i7 12th Gen - (16 GB/1 TB SSD/Windows 11 Home/6 G...,Laptops,Asus,179990,227990,0.21,0.21053555,5,['Intel Core i7 Processor (12th Gen)' '16 GB DDR5 RAM' '64 bit Windows 11 Operating System' '1 TB SSD' '40.64 cm (16 Inch) Display' '1 Year Onsite Warranty'],3,0
ASUS VivoBook Pro 15 OLED Ryzen 7 Octa Core 5800H - (16 GB/1 TB SSD/Windows 11 Home/4 GB Graphics/NVID...,Laptops,Asus,94990,137990,0.31,0.311616784,5,['AMD Ryzen 7 Octa Core Processor' '16 GB DDR4 RAM' '64 bit Windows 11 Operating System' '1 TB SSD' '39.62 cm (15.6 inch) Display' '1 Year Onsite Warranty'],7,0
DELL Ryzen 5 Quad Core - (8 GB/1 TB HDD/256 GB SSD/Windows 10) 3515 Laptop,Laptops,Dell,52990,66560,0.2,0.203876202,4.3,['AMD Ryzen 5 Quad Core Processor' '8 GB DDR4 RAM' 'Windows 10 Operating System' '1 TB HDD|256 GB SSD' '39.62 cm (15.6 inch) Display' '1 year warranty'],3,0
DELL Ryzen 7 Octa Core 5800H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3050...,Laptops,Dell,98990,123850,0.2,0.200726686,5,['AMD Ryzen 7 Octa Core Processor' '16 GB DDR4 RAM' '64 bit Windows 11 Operating System' '512 GB SSD' '39.62 cm (15.6 inch) Display' 'Office Home and Student 2021' '1 Year Premium Support'],5,0
DELL Inspiron Ryzen 3 Dual Core 3250U - (8 GB/256 GB SSD/Windows 11 Home) Inspiron 3525 Thin and Light...,Laptops,Dell,36690,52433,0.3,0.300249843,4,['AMD Ryzen 3 Dual Core Processor' '8 GB DDR4 RAM' '64 bit Windows 11 Operating System' '256 GB SSD' '39.62 cm (15.6 inch) Display' 'Microsoft Office Home & Student 2021' '1 Year Onsite Hardware Service'],9,0
DELL 3511 Core i5 11th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 11 Home/2 GB Graphics) 3511 Laptop,Laptops,Dell,59990,87000,0.31,0.31045977,4.7,['Intel Core i5 Processor (11th Gen)' '8 GB DDR4 RAM' '64 bit Windows 11 Operating System' '1 TB HDD|256 GB SSD' '39.62 cm (15.6 inch) Display' 'Mc Afee Anti Virus 15 Months MS Office Home& Students 2021' '1 Year By Dell'],3,0
acer Aspire 5 Ryzen 7 Octa Core 5700U - (8 GB/512 GB SSD/Windows 10 Home) A515-45-R9PX Thin and Light ...,Laptops,Acer,59990,79999,0.25,0.250115626,5,['AMD Ryzen 7 Octa Core Processor' '8 GB DDR4 RAM' '64 bit Windows 10 Operating System' '512 GB SSD' '39.62 cm (15.6 inch) Display' 'Acer Care Center Acer Configuration Manager Quick Access Acer Product Registration' '1 Year International Travelers Warranty (ITW)'],3,0
HP Intel Core i5 10th Gen - (16 GB/512 GB SSD/Windows 10 Home/4 GB Graphics) 15-ep0011TX Laptop,Laptops,Hp,97500,138366,0.29,0.295347123,3.7,['Intel Core i5 Processor (10th Gen)' '16 GB DDR4 RAM' '64 bit Windows 10 Operating System' '512 GB SSD' '39.62 cm (15.6 inch) Display' 'Microsoft Office Home and Student 2019' '1 Year Onsite Warranty'],3,0
HP Pavilion Intel Core i7 11th Gen - (16 GB/512 GB SSD/Windows 11 Home) 14-dy1047TU Thin and Light Lap...,Laptops,Hp,91890,99999,0.08,0.081090811,3.8,"['Intel Core i7 Processor (11th Gen)' '16 GB DDR4 RAM' '64 bit Windows 11 Operating System' '512 GB SSD' '35.56 cm (14 inch) Touchscreen Display' '""Microsoft Office Home & Student 2019 HP Documentation HP SSRM HP Smart ""' '1 Year Onsite Warranty']",12,0
Lenovo Ideapad 520 Core i5 8th Gen - (8 GB/2 TB HDD/Windows 10 Home/4 GB Graphics) 520-15IKB Laptop,Laptops,Lenovo,64821,79090,0.18,0.180414717,3.3,['Intel Core i5 Processor (8th Gen)' '8 GB DDR4 RAM' '64 bit Windows 10 Operating System' '2 TB HDD' '39.62 cm (15.6 inch) Display' 'Lenovo App Explorer Lenovo Companion 3.0 Microsoft Office Home and Student 2016' '1 Year Onsite Warranty'],4,0
DELL Inspiron Core i5 11th Gen - (16 GB/512 GB SSD/Windows 10/2 GB Graphics) Inspiron 5518 Thin and Li...,Laptops,Dell,73890,82990,0.1,0.109651765,3.9,['Intel Core i5 Processor (11th Gen)' '16 GB DDR4 RAM' '64 bit Windows 10 Operating System' '512 GB SSD' '39.62 cm (15.6 inch) Display' 'Microsoft Office Home and Student 2019' '1 Year Onsite Warranty'],8,0
ASUS TUF GAMING A15 Ryzen 7 Octa Core 4800H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA G...,Laptops,Asus,82152,98990,0.17,0.17009799,4.7,['AMD Ryzen 7 Octa Core Processor' '16 GB DDR4 RAM' '64 bit Windows 11 Operating System' '512 GB SSD' '39.62 cm (15.6 inch) Display' 'Windows 11 1 Year McAfee' '1 Year Onsite Warranty'],3,0
LG 190 L Direct Cool Single Door 3 Star Refrigerator with Base Drawer  with Fast Ice Making,Refrigerator,LG,16989,22229,0.23,0.235728103,4.4,['Conventional Compressor' 'Built-in Stabilizer' '1 Year on Product and 10 Years on Compressor From LG'],8,0
Whirlpool 245 L Frost Free Double Door 2 Star Refrigerator,Refrigerator,Whirlpool,21819,32200,0.32,0.322391304,3.9,['Digital Inverter' 'Built-in Stabilizer' '1 Year on Product and 10 Years on Compressor From Whirlpool'],9,0
Haier 376 L Frost Free Double Door Bottom Mount 3 Star Refrigerator,Refrigerator,Haier,37990,65100,0.41,0.416436252,4.5,['Twin Inverter Compressor' 'Built-in Stabilizer' 'covered in Warranty All Parts Excluding Plastic Parts Glassware Bulb and Tube from the Date of Purchase. Against Defective Material and Workmanship1 Year Warranty on Product and 10 Years on Compressor'],12,0
LG 260 L Frost Free Double Door 3 Star Convertible Refrigerator,Refrigerator,LG,30039,43399,0.3,0.307841194,3.7,['Smart Inverter Compressor' 'Built-in Stabilizer' '1 Year on Product and 10 Years on Compressor from LG'],7,0
Whirlpool 292 L Frost Free Double Door 2 Star Convertible Refrigerator,Refrigerator,Whirlpool,26590,33100,0.19,0.196676737,4,['Inverter Compressor' 'Built-in Stabilizer' '1 Year Warranty on Unit and 10 Years Warranty on Compressor from Whirlpool'],4,0
LG 190 L Direct Cool Single Door 3 Star Refrigerator,Refrigerator,LG,16390,21199,0.22,0.226850323,2.7,['Reciprocating Compressor' 'Built-in Stabilizer' '1 Year on Product and 10 Years on Compressor From LG'],3,0
LG 674 L Frost Free Side by Side Refrigerator  with Smart Inverter Compressor ThinQ (Wi-Fi)ï¿½ | DoorCoo...,Refrigerator,LG,122990,151799,0.18,0.189783859,4.7,['Inverter Compressor' 'Built-in Stabilizer' '1 Year Warranty on Product and 10 Years Warranty on Compressor'],13,0
Whirlpool 265 L Frost Free Double Door 2 Star Refrigerator,Refrigerator,Whirlpool,23200,34950,0.33,0.336194564,4,['Rotary Compressor' 'Built-in Stabilizer' '1 Year Warranty on Unit and 10 Years Warranty on Compressor'],3,0
Whirlpool 292 L Frost Free Double Door 2 Star Refrigerator,Refrigerator,Whirlpool,26390,30650,0.13,0.138988581,4,['Digital Inverter' 'Built-in Stabilizer' '1 Year Warranty on Unit and 10 Years Warranty on Compressor from Whirlpool'],3,0
Voltas 250 L Frost Free Double Door 2 Star Refrigerator,Refrigerator,Voltas,23889,32290,0.26,0.260173428,4.1,['ProSmart Inverter Compressor' 'ONSITE'],7,0
Haier 190 L Direct Cool Single Door 2 Star Refrigerator with Base Drawer,Refrigerator,Haier,14790,23000,0.35,0.356956522,4.7,['Reciprocatory Compressor' 'Built-in Stabilizer' '1 Year Warranty on Product and 10 Years Warranty on Compressor'],3,0
Whirlpool 265 L Frost Free Double Door 2 Star Refrigerator,Refrigerator,Whirlpool,23499,34950,0.32,0.327639485,4,['Rotary Compressor' 'Built-in Stabilizer' '1 Year Warranty on Unit and 10 Years Warranty on Compressor'],3,0
Whirlpool 265 L Frost Free Double Door 2 Star Refrigerator,Refrigerator,Whirlpool,22990,32600,0.29,0.294785276,4,['Digital Inverter' 'Built-in Stabilizer' '1 Year on Product and 10 Years on Compressor From Whirlpool'],39,0
Haier 345 L Frost Free Double Door 3 Star Convertible Refrigerator,Refrigerator,Haier,36990,68100,0.45,0.456828194,4.3,['Inverter Compressor' 'Built-in Stabilizer' '1 Year Warranty on Product and 10 Years Warranty on Compressor'],7,0
SAMSUNG 692 L Frost Free Side by Side Refrigerator,Refrigerator,Samsung,92990,118990,0.21,0.218505757,3.6,['Digital Inverter Compressor' 'Built-in Stabilizer' '1 year comprehensive warranty on product 20 years on compressor'],5,0
SAMSUNG 275 L Frost Free Double Door 2 Star Refrigerator,Refrigerator,Samsung,29990,31990,0.06,0.062519537,4.3,['Digital Inverter Compressor' 'Built-in Stabilizer' '1 year comprehensive warranty on product 20 years on compressor'],4,0
LG 190 L Direct Cool Single Door 5 Star Refrigerator,Refrigerator,LG,16479,21499,0.23,0.233499233,1,['Digital Inverter Compressor' 'Built-in Stabilizer' '1 Year Warranty on Product and 10 Years Warranty on Compressor'],3,0
LG 260 L Frost Free Double Door 2 Star Convertible Refrigerator with Base Drawer,Refrigerator,LG,26839,31890,0.15,0.158388209,4.4,['Smart Inverter' 'Built-in Stabilizer' '1 Year Warranty on Motor'],44,0
LG 190 L Direct Cool Single Door 2 Star Refrigerator,Refrigerator,LG,14950,19499,0.23,0.233294015,4.6,['Reciprocating Compressor' 'Built-in Stabilizer' '1 Year Warranty on Product and 10 Years Warranty on Compressor'],15,0
Haier 242 L Direct Cool Single Door 3 Star Refrigerator,Refrigerator,Haier,18490,31250,0.4,0.40832,4.8,['Inverter Compressor' 'Built-in Stabilizer' '1 Year Warranty on Product and 10 Years Warranty on Compressor'],4,0
Haier 346 L Frost Free Double Door Bottom Mount 3 Star Convertible Refrigerator,Refrigerator,Haier,42490,66700,0.36,0.362968516,4,['Triple Inverter Compressor' 'Built-in Stabilizer' '1 Year Warranty on Product and 10 Years Warranty on Compressor from Haier'],5,0
SAMSUNG 192 L Direct Cool Single Door 3 Star Refrigerator,Refrigerator,Samsung,15990,16990,0.05,0.058858152,4.6,['Digital Inverter Compressor' 'Built-in Stabilizer' '1 year comprehensive warranty on product 20 years on compressor'],5,0
SAMSUNG 192 L Direct Cool Single Door 2 Star Refrigerator,Refrigerator,Samsung,13490,15990,0.15,0.156347717,4.5,['Linear Compressor' 'Built-in Stabilizer' '1 Year on Product and 10 Years on Compressor From Samsung'],6,0
Panasonic 336 L Frost Free Double Door 3 Star Refrigerator,Refrigerator,Panasonic,36990,43000,0.13,0.139767442,4.1,['Inverter Compressor' 'Built-in Stabilizer' '1 Year Warranty on Product and 10 Years on Compressor'],15,0
LG 360 L Direct Cool Double Door 3 Star Refrigerator,Refrigerator,LG,47000,59399,0.2,0.208740888,4.7,['Inverter Linear Compressor' 'Built-in Stabilizer' '1 Year Warranty on product and 10 Years Warranty on compressor from LG'],6,0
SAMSUNG 253 L Frost Free Double Door 3 Star Convertible Refrigerator,Refrigerator,Samsung,30100,35990,0.16,0.163656571,4,['Digital Inverter Compressor' 'Built-in Stabilizer' '1 year comprehensive warranty on product 20 years on compressor'],6,0
Whirlpool 265 L Frost Free Double Door 2 Star Refrigerator,Refrigerator,Whirlpool,22369,26700,0.16,0.162209738,4,['Digital Inverter' 'Built-in Stabilizer' '1 Year on Product and 10 Years on Compressor From Whirlpool'],39,0
Godrej 564 L Frost Free Side by Side Refrigerator,Refrigerator,Godrej,68790,95000,0.27,0.275894737,5,['Fixed Speed' '1 Year Warranty on Product and 10 Years on Compressor from Godrej'],7,0
SAMSUNG 253 L Frost Free Double Door 2 Star Convertible Refrigerator,Refrigerator,Samsung,28100,29990,0.06,0.063021007,4.8,['Digital Inverter Compressor' 'Built-in Stabilizer' '1 Year Warranty on Product and 10 Years on Compressor'],6,0
SAMSUNG 336 L Frost Free Double Door 3 Star Refrigerator,Refrigerator,Samsung,40240,49990,0.19,0.195039008,4.3,['Digital Inverter Compressor' 'Built-in Stabilizer' '1 year comprehensive warranty on product 20 years on compressor'],6,0
SAMSUNG 700 L Frost Free Side by Side Refrigerator,Refrigerator,Samsung,95590,110990,0.13,0.138751239,3.7,['Digital Inverter Compressor' 'Built-in Stabilizer' '1 year comprehensive warranty on product 20 years on compressor'],3,0
LG 190 L Direct Cool Single Door 2 Star Refrigerator,Refrigerator,LG,15290,19499,0.21,0.215857223,4.6,['Reciprocating Compressor' 'Built-in Stabilizer' '1 Year Warranty on Product and 10 Years Warranty on Compressor'],15,0
SAMSUNG 324 L Frost Free Double Door 3 Star Convertible Refrigerator,Refrigerator,Samsung,38299,44990,0.14,0.148721938,4.8,['Digital Inverter Compressor' 'Built-in Stabilizer' '1 year comprehensive warranty on product 20 years on compressor'],4,0
LG 308 L Frost Free Double Door 2 Star Refrigerator,Refrigerator,LG,36299,48699,0.25,0.254625352,4.3,['Smart Inverter Compressor' 'Built-in Stabilizer' '1 Year Warranty on Product and 10 Years Warranty on Compressor From LG'],3,0
Godrej 190 L Direct Cool Single Door 2 Star Refrigerator,Refrigerator,Godrej,13990,16500,0.15,0.152121212,4.3,['Equipped with a normal compressor' 'Built-in Stabilizer' '1 Year Warranty on product and 10 Years Warranty on Compressor from Godrej'],11,0
SAMSUNG 345 L Frost Free Double Door 3 Star Convertible Refrigerator,Refrigerator,Samsung,41299,47990,0.13,0.13942488,4.3,['Digital Inverter Compressor' 'Built-in Stabilizer' '1 year comprehensive warranty on product 20 years on compressor'],9,0
Godrej 240 L Direct Cool Single Door 3 Star Refrigerator,Refrigerator,Godrej,20500,24700,0.17,0.170040486,5,['Reciprocatory Compressor' 'Built-in Stabilizer' '1 Year Warranty on Product and 10 Years Warranty on Compressor from Godrej'],3,0
